,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,length
20,446.737861123163,455.4969156160397,444.3289529196752,466.00151617495123,434.0604356847936,476.76557248981356,428.3589782261388,493.1037769062558,407.6630241768144,465.6134414106032,425.77877322419437,469.1976255329013,428.8167459791164,488.41112519444187,420.8619873591022,495.2254319438963,406.76735649845756,0.0
21,446.7796005997226,455.6316627400414,444.219910620226,466.0606554323284,434.2391912508507,476.8495578397436,428.4534625525283,493.30361761628785,407.06108875473046,465.8368817764441,425.40581622414214,468.91161506278735,428.83973619027444,488.33036969710605,420.6615256412954,495.230106846893,406.77373492168635,0.0
22,447.3221655019502,455.5944512467859,444.89782120816596,465.6112226511713,433.7964141103169,477.4770453851255,428.6843713360768,491.18622597046806,406.5167390503111,468.63084404819256,408.918682852259,469.47213137486364,429.0160507043439,488.42994043766834,420.59333789933135,495.5862762315135,406.95339389931394,0.0
23,447.16312493470235,455.1056484092044,444.66458279523243,464.8104191818351,433.16594489439103,477.07871889111544,427.6732659304479,492.24729087342126,405.87911166549617,466.68086875246684,426.1839151595004,469.5454517834963,429.4169387704019,488.23138663531415,420.955667708285,495.4161609122516,406.4788715198171,0.0
24,447.1594519423872,454.32812031806844,444.8357231514238,466.7757326213956,433.6960807562229,476.884714157762,428.672746995583,497.0010067626591,405.2299714903244,467.3817301009066,425.1347480309134,469.7067165516461,429.0700899438731,488.1158030086251,419.9973976169263,495.2044061034431,406.3891777276639,0.0
25,447.6353044212307,453.3502328767819,445.28550350648334,466.29653091770757,434.90797878905886,477.0160511804725,428.65419838439124,498.05409447045065,405.04975544219565,470.7155385803858,426.2456091870879,470.1471471007122,429.49556393219495,488.38889814946486,420.07233958364776,495.1895032772161,406.41095177025534,0.0
26,447.0797983427459,454.0681602058581,445.4098315756176,467.15460858054536,435.00063631190943,477.25983516245327,428.5650466986964,499.2338405569454,404.25718355674803,474.49899818000966,427.0636675581004,471.6877245513327,430.2429117596699,488.5451839724763,419.77096852363485,495.34792827815926,406.61796875906913,0.0
27,447.0724169885599,453.85152796933767,445.73293110590987,467.13699114092395,435.9866165795971,479.3501897481717,428.97014646260914,497.36929056017397,398.8122492842653,478.8496843170801,415.5247418203822,471.8373785826639,431.07504721382224,489.4225339620287,419.79006196202,495.44193715609913,406.49056966024915,0.0
28,447.98653295100354,454.7166701907743,446.75803061225974,466.80043553526656,434.71877266712386,480.39445743872545,427.702033622481,499.8419935387984,396.14997739069173,479.9574109739216,415.43306937366503,471.19411315464515,430.7507600826813,490.2481927063986,418.8107095749559,495.52286678047807,406.57450671713207,0.0
29,447.76978695374896,455.2735641842257,446.48855132829914,467.6006431636272,433.9478530288628,477.4763390142886,426.78074920336877,502.5979100719072,393.3139634380369,483.4751527057892,407.027513523867,474.4615329782109,428.7863417649517,491.26701819772705,417.6498528717177,500.36208721007847,407.0742877206335,0.0
